zip,date,predicted_price,model_used
20003,2026-08-31,822566.3163250725,arima
20003,2026-09-30,822566.3163267578,arima
20003,2026-10-31,822566.3163269435,arima
20003,2026-11-30,822566.316326964,arima
20003,2026-12-31,822566.3163269662,arima
20003,2027-01-31,822566.3163269664,arima
20003,2027-02-28,822566.3163269664,arima
20003,2027-03-31,822566.3163269664,arima
20003,2027-04-30,822566.3163269664,arima
20003,2027-05-31,822566.3163269664,arima
20003,2027-06-30,822566.3163269664,arima
20003,2027-07-31,822566.3163269664,arima
20003,2027-08-31,822566.3163269664,arima
20003,2027-09-30,822566.3163269664,arima
20003,2027-10-31,822566.3163269664,arima
20003,2027-11-30,822566.3163269664,arima
20003,2027-12-31,822566.3163269664,arima
20004,2026-01-31,438842.240432221,arima
20004,2026-02-28,438837.53814415867,arima
20004,2026-03-31,438837.16482091526,arima
20004,2026-04-30,438837.1351821007,arima
20004,2026-05-31,438837.132829021,arima
20004,2026-06-30,438837.13264220575,arima
20004,2026-07-31,438837.13262737414,arima
20004,2026-08-31,438837.13262619666,arima
20004,2026-09-30,438837.1326261032,arima
20004,2026-10-31,438837.1326260957,arima
20004,2026-11-30,438837.13262609515,arima
20004,2026-12-31,438837.1326260951,arima
20004,2027-01-31,438837.1326260951,arima
20004,2027-02-28,438837.1326260951,arima
20004,2027-03-31,438837.1326260951,arima
20004,2027-04-30,438837.1326260951,arima
20004,2027-05-31,438837.1326260951,arima
20004,2027-06-30,438837.1326260951,arima
20004,2027-07-31,438837.1326260951,arima
20004,2027-08-31,438837.1326260951,arima
20004,2027-09-30,438837.1326260951,arima
20004,2027-10-31,438837.1326260951,arima
20004,2027-11-30,438837.1326260951,arima
20004,2027-12-31,438837.1326260951,arima
20005,2026-01-31,507885.9520374445,arima
20005,2026-02-28,507882.42944141856,arima
20005,2026-03-31,507881.99445445725,arima
20005,2026-04-30,507881.94074019225,arima
20005,2026-05-31,507881.93410729856,arima
20005,2026-06-30,507881.9332882372,arima
20005,2026-07-31,507881.93318709556,arima
20005,2026-08-31,507881.9331746061,arima
20005,2026-09-30,507881.93317306385,arima
20005,2026-10-31,507881.9331728734,arima
20005,2026-11-30,507881.9331728499,arima
20005,2026-12-31,507881.93317284697,arima
20005,2027-01-31,507881.9331728466,arima
20005,2027-02-28,507881.93317284656,arima
20005,2027-03-31,507881.93317284656,arima
20005,2027-04-30,507881.93317284656,arima
20005,2027-05-31,507881.93317284656,arima
20005,2027-06-30,507881.93317284656,arima
20005,2027-07-31,507881.93317284656,arima
20005,2027-08-31,507881.93317284656,arima
20005,2027-09-30,507881.93317284656,arima
20005,2027-10-31,507881.93317284656,arima
20005,2027-11-30,507881.93317284656,arima
20005,2027-12-31,507881.93317284656,arima
20007,2026-01-31,1246658.931881417,linear
20007,2026-02-28,1249874.904004494,linear
20007,2026-03-31,1253504.7649621863,linear
20007,2026-04-30,1257703.0767006478,linear
20007,2026-05-31,1261452.5622198787,linear
20007,2026-06-30,1264783.1092852633,linear
20007,2026-07-31,1267228.3931583404,linear
20007,2026-08-31,1269044.3650583404,linear
20007,2026-09-30,1270907.7809160326,linear
20007,2026-10-31,1273400.2647738364,linear
20007,2026-11-30,1276036.1853658364,linear
20007,2026-12-31,1278699.9180738365,linear
20007,2027-01-31,1276404.9001093325,linear
20007,2027-02-28,1279620.8722324094,linear
20007,2027-03-31,1283250.7331901018,linear
